benchmark,mGETS,mGETXIM,mGETXSM,instrs,cycles,cCycles,overall_cycles,IPC,total_misses,MKPI
streamcluster_8c_simlarge,27094194,185219,0,5000023323,5869662027,736360479,6606022506,0.7569,27279413,5.4559
fluidanimate_8c_simlarge,3106329,1370781,0,5000089482,3618191865,139838647,3758030512,1.3305,4477110,0.8954
bodytrack_8c_simlarge,80823,72538,0,5000125808,3031768217,3597541,3035365758,1.6473,153361,0.0307
mcf,8015348,121886,0,100000302,652812401,148845628,801658029,0.1247,8137234,81.3721
bzip2,110376,198277,0,100001900,109540085,8839489,118379574,0.8448,308653,3.0865
xalan,69895,57481,0,100013191,61010217,2752051,63762268,1.5685,127376,1.2736
calculix,5690,199,0,100020798,50250003,216974,50466977,1.9819,5889,0.0589
libquantum,2505091,15,0,100003304,157852171,36800289,194652460,0.5138,2505106,25.0502
x264_8c_simlarge,2470385,1166260,0,5000106933,3026915082,58784210,3085699292,1.6204,3636645,0.7273
gcc,222497,62577,0,100008860,123260043,8099337,131359380,0.7613,285074,2.8505
canneal_8c_simlarge,22909156,4360,0,1721897346,5006088859,986619791,5992708650,0.2873,22913516,13.3071
blackscholes_8c_simlarge,25182,4268,0,4062699954,3180811684,682599,3181494283,1.277,29450,0.0072
soplex,1730577,373300,0,100005140,223691572,42097298,265788870,0.3763,2103877,21.0377
cactusADM,348317,136387,0,100004944,84611284,10074810,94686094,1.0562,484704,4.8468
namd,1050,25800,0,100010333,53390003,325380,53715383,1.8619,26850,0.2685
lbm,789673,2309144,0,100003337,147242632,27014934,174257566,0.5739,3098817,30.9871
hmmer,6979,119458,0,100000940,61320012,3675282,64995294,1.5386,126437,1.2644
sjeng,34464,2871,0,100011872,85520142,1135087,86655229,1.1541,37335,0.3733
swaptions_8c_simlarge,2362,8858,0,5000010173,3213700151,222811,3213922962,1.5557,11220,0.0022
